position,title,link,snippet
1,Argentine Workers' Central Union - Central de Trabajadores de la ...,www.cta.org.ar,"Informacion de actividades gremiales, politicas, culturales y sociales de la Central que representa desocupados, organizaciones territoriales y Sindicatos."
2,"Central de Trabajadores de la Argentina - Wikipedia, la ...",es.wikipedia.org/wiki/Central_de_Trabajadores_de_la_Argentina,"La Central de Trabajadores de la Argentina (CTA) es una central obrera, nacida a partir de la separación de un grupo de sindicatos de la CGT en 1991, disconformes ..."
3,cta | Bienvenidos a cta,cta.org.co,"Corporación mixta, sin ánimo de lucro, creada con apoyo estatal y privado para promover la apropiación social de la ciencia y la tecnología."
4,"CTA - Wikipedia, la enciclopedia libre",es.wikipedia.org/wiki/CTA,"La sigla CTA puede hacer referencia a: Cherenkov Telescope Array, proyecto de una matriz de telescopios de rayos gamma. Central de Trabajadores de la Argentina"
5,Consorcio de Transportes de Asturias,consorcioasturias.com,Elige tu tarjeta CTA; Puntos de venta autorizados; Mapa de zonas; Destacamos. Actualizamos a la nueva dirección; Consulta el estado de tu tarjeta.
6,Chicago Transit Authority - CTA Buses &…,www.transitchicago.com,"Information about CTA bus and train service in and around Chicago. Find maps, schedules, service alerts, plan a trip, jobs, news and more!"
7,QUÉ ES EL CTA | cta,cta.org.co/que-es-cta,QUÉ ES EL CTA. Somos una institución dedicada a convertir el conocimiento en herramientas para generar desarrollo económico y social en escenarios locales e ...
8,Agencia CTA - ACTA,agenciacta.org,Agencia de la Central de Trabajadores de la Argentina. Nuestra representación de la realidad desde la perspectiva de trabajadores organizados en (...)
9,CTA :: Yarur y Compañia Ltda. ::,cta.cl
10,CTA Provincia de Buenos Aires - Argentine Workers' Central Union,www.buenosaires.cta.org.ar,"La CTA Chivilcoy realizó un plenario éste Sábado 28 de Septiembre en el SUM del barrio 25 de Mayo con la presencia de Pablo Masciángelo, Secretario de Finanzas de ..."
